Pesan,Kategori
Selamat pagi apakah Bapak/Ibu sudah mengirimkan laporan terbaru?,Ham
Ada rapat penting besok pagi pukul 10.00 di ruang konferensi Harap hadir.,Ham
Info terbaru: Dapatkan diskon spesial hingga 50% untuk pembelian hari ini!,Spam
Tolong segera konfirmasi kehadiran Anda pada acara seminar minggu depan.,Ham
Peringatan: Jika tidak melakukan pembayaran segera akun akan dinonaktifkan.,Spam
Pesan singkat ini untuk mengingatkan Anda tentang deadline proyek besok.,Ham
Promo spesial untuk Anda! Klaim sekarang untuk penawaran eksklusif.,Spam
Halo bagaimana kabar? Sudah lama tidak bertemu. Ayo ngobrol nanti sore.,Ham
Penting: Periksa email Anda sekarang untuk informasi lebih lanjut.,Spam
Terima kasih atas kerjasama Anda dalam proyek ini. Semoga sukses selalu.,Ham
Jangan lewatkan diskon besar-besaran untuk produk pilihan. Segera dapatkan!,Spam
Halo! Sudahkah Anda membaca dokumen terbaru yang dikirimkan?,Ham
Info penting: Update informasi kontak Anda sekarang juga.,Spam
Hari ini terakhir untuk mendapatkan promo spesial. Ayo segera klaim!,Spam
Perhatian: Ada perubahan jadwal rapat besok menjadi pukul 14.00.,Ham
Anda mendapat kesempatan untuk memenangkan hadiah menarik dari kuis kami.,Spam
Mohon segera lakukan verifikasi email untuk keamanan akun Anda.,Spam
Halo mari kita rapat sore ini untuk membahas proyek kedepan.,Ham
Tawaran spesial! Hanya hari ini dapatkan penawaran istimewa.,Spam
Pesan singkat ini untuk mengingatkan Anda tentang tenggat waktu pelaporan.,Ham
Halo sudahkah Anda melakukan evaluasi terbaru untuk proyek tersebut?,Ham
Promo spesial! Diskon 30% untuk produk-produk terpilih.,Spam
Peringatan: Akun Anda akan dinonaktifkan jika tidak diverifikasi dalam 24 jam.,Spam
Info terbaru: Silakan cek email untuk pengumuman penting.,Spam
Mohon perhatian untuk menyelesaikan tugas-tugas yang belum selesai.,Ham
Jangan lewatkan penawaran eksklusif ini! Promo spesial hanya hari ini.,Spam
Pesan singkat ini untuk mengingatkan Anda tentang jadwal meeting besok.,Ham
Tawaran terbaik! Dapatkan diskon tambahan untuk pembelian selanjutnya.,Spam
Terima kasih atas partisipasi Anda dalam acara kami kemarin.,Ham
Promo spesial untuk pelanggan setia! Dapatkan penawaran menarik.,Spam
Halo apakah sudah ada update terbaru mengenai proyek tersebut?,Ham
Pesan singkat ini untuk mengingatkan Anda tentang tenggat waktu pengumpulan.,Ham
Apa kabar nih? Udah makan belum?,Ham
Hai lagi apa aja sekarang?,Ham
Bro udah sampe kampus belum?,Ham
Besok minggu mau makan ramen ga?,Ham
Ada plan minggu ini? Mau ikutan foto-foto ga?,Ham
Boleh pinjem duitnya dulu ga? Butuh seratus nih!,Ham
Lagi ngapain nih? Rencana minggu depan gimana?,Ham
Kamu lagi ngapain? Mau nge-gym bareng ga?,Ham
Eh mau nanya nih udah tidur belum?,Ham
Hai apa kabar hari ini? Mau main ke mana nih?,Ham
Lagi apa? Udah sarapan belum?,Ham
Jadwalnya gimana besok? Mau nonton film ga?,Ham
Eh udah datang ke kantor belum? Udah waktunya nih.,Ham
